BGM_NO,LOOP_BEGIN,LOOP_END
22,470400,10819201
26,132300,8467200
27,423360,7902721
28,141120,5574241
30,198450,7607250
31,604800,5443201
34,117600,11642401
35,211680,8678880
42,141120,12418561
55,411600,13053600
60,5490272,10821472
62,136568,9286606
63,156800,9251200
64,111847,13286722
65,121238,12704438
66,151200,9525600
67,162831,12619386
68,0,4375470
69,141944,4375545
